
completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 26/165, Solved: True, number of success = 26/26, acc = 100.0
completed 27/165, Solved: False, number of success = 26/27, acc = 96.3
completed 28/165, Solved: False, number of success = 26/28, acc = 92.86
completed 29/165, Solved: True, number of success = 27/29, acc = 93.1
completed 30/165, Solved: True, number of success = 28/30, acc = 93.33
completed 31/165, Solved: True, number of success = 29/31, acc = 93.55
completed 32/165, Solved: True, number of success = 30/32, acc = 93.75
completed 33/165, Solved: True, number of success = 31/33, acc = 93.94
completed 34/165, Solved: True, number of success = 32/34, acc = 94.12
completed 35/165, Solved: True, number of success = 33/35, acc = 94.29
completed 36/165, Solved: True, number of success = 34/36, acc = 94.44
completed 37/165, Solved: False, number of success = 34/37, acc = 91.89
completed 38/165, Solved: False, number of success = 34/38, acc = 89.47
completed 39/165, Solved: False, number of success = 34/39, acc = 87.18
completed 40/165, Solved: False, number of success = 34/40, acc = 85.0
completed 41/165, Solved: False, number of success = 34/41, acc = 82.93
completed 42/165, Solved: False, number of success = 34/42, acc = 80.95
completed 43/165, Solved: False, number of success = 34/43, acc = 79.07
completed 44/165, Solved: False, number of success = 34/44, acc = 77.27
completed 45/165, Solved: False, number of success = 34/45, acc = 75.56
completed 46/165, Solved: True, number of success = 35/46, acc = 76.09
completed 47/165, Solved: True, number of success = 36/47, acc = 76.6
completed 48/165, Solved: True, number of success = 37/48, acc = 77.08
completed 49/165, Solved: True, number of success = 38/49, acc = 77.55
completed 50/165, Solved: True, number of success = 39/50, acc = 78.0
completed 51/165, Solved: True, number of success = 40/51, acc = 78.43

completed 52/165, Solved: False, number of success = 40/52, acc = 76.92
completed 53/165, Solved: False, number of success = 40/53, acc = 75.47
completed 54/165, Solved: False, number of success = 40/54, acc = 74.07
completed 55/165, Solved: False, number of success = 40/55, acc = 72.73
completed 56/165, Solved: False, number of success = 40/56, acc = 71.43
completed 57/165, Solved: False, number of success = 40/57, acc = 70.18
completed 58/165, Solved: False, number of success = 40/58, acc = 68.97

completed 59/165, Solved: False, number of success = 40/59, acc = 67.8
completed 60/165, Solved: False, number of success = 40/60, acc = 66.67
completed 61/165, Solved: False, number of success = 40/61, acc = 65.57
completed 62/165, Solved: False, number of success = 40/62, acc = 64.52
completed 63/165, Solved: False, number of success = 40/63, acc = 63.49
completed 64/165, Solved: False, number of success = 40/64, acc = 62.5
completed 65/165, Solved: False, number of success = 40/65, acc = 61.54

completed 66/165, Solved: False, number of success = 40/66, acc = 60.61
completed 67/165, Solved: False, number of success = 40/67, acc = 59.7
completed 68/165, Solved: False, number of success = 40/68, acc = 58.82
completed 69/165, Solved: False, number of success = 40/69, acc = 57.97
completed 70/165, Solved: False, number of success = 40/70, acc = 57.14
completed 71/165, Solved: False, number of success = 40/71, acc = 56.34
completed 72/165, Solved: False, number of success = 40/72, acc = 55.56
completed 73/165, Solved: False, number of success = 40/73, acc = 54.79
completed 74/165, Solved: False, number of success = 40/74, acc = 54.05
completed 75/165, Solved: False, number of success = 40/75, acc = 53.33

completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: True, number of success = 14/14, acc = 100.0
completed 15/165, Solved: True, number of success = 15/15, acc = 100.0
completed 16/165, Solved: True, number of success = 16/16, acc = 100.0
completed 17/165, Solved: True, number of success = 17/17, acc = 100.0
completed 18/165, Solved: True, number of success = 18/18, acc = 100.0
completed 19/165, Solved: True, number of success = 19/19, acc = 100.0
completed 20/165, Solved: True, number of success = 20/20, acc = 100.0
completed 21/165, Solved: True, number of success = 21/21, acc = 100.0
completed 22/165, Solved: True, number of success = 22/22, acc = 100.0
completed 23/165, Solved: True, number of success = 23/23, acc = 100.0
completed 24/165, Solved: True, number of success = 24/24, acc = 100.0
completed 25/165, Solved: True, number of success = 25/25, acc = 100.0
completed 26/165, Solved: True, number of success = 26/26, acc = 100.0
completed 27/165, Solved: False, number of success = 26/27, acc = 96.3
completed 28/165, Solved: False, number of success = 26/28, acc = 92.86
completed 29/165, Solved: True, number of success = 27/29, acc = 93.1
completed 30/165, Solved: True, number of success = 28/30, acc = 93.33
completed 31/165, Solved: True, number of success = 29/31, acc = 93.55
completed 32/165, Solved: True, number of success = 30/32, acc = 93.75
completed 33/165, Solved: True, number of success = 31/33, acc = 93.94
completed 34/165, Solved: True, number of success = 32/34, acc = 94.12
completed 35/165, Solved: True, number of success = 33/35, acc = 94.29
completed 36/165, Solved: True, number of success = 34/36, acc = 94.44
completed 37/165, Solved: False, number of success = 34/37, acc = 91.89
completed 38/165, Solved: False, number of success = 34/38, acc = 89.47
completed 39/165, Solved: False, number of success = 34/39, acc = 87.18
completed 40/165, Solved: False, number of success = 34/40, acc = 85.0
completed 41/165, Solved: False, number of success = 34/41, acc = 82.93
completed 42/165, Solved: False, number of success = 34/42, acc = 80.95
completed 43/165, Solved: False, number of success = 34/43, acc = 79.07
completed 44/165, Solved: False, number of success = 34/44, acc = 77.27
completed 45/165, Solved: False, number of success = 34/45, acc = 75.56
completed 46/165, Solved: True, number of success = 35/46, acc = 76.09
completed 47/165, Solved: True, number of success = 36/47, acc = 76.6
completed 48/165, Solved: True, number of success = 37/48, acc = 77.08
completed 49/165, Solved: True, number of success = 38/49, acc = 77.55
completed 50/165, Solved: True, number of success = 39/50, acc = 78.0
completed 51/165, Solved: True, number of success = 40/51, acc = 78.43
completed 52/165, Solved: False, number of success = 40/52, acc = 76.92
completed 53/165, Solved: False, number of success = 40/53, acc = 75.47
completed 54/165, Solved: False, number of success = 40/54, acc = 74.07
completed 55/165, Solved: False, number of success = 40/55, acc = 72.73
completed 56/165, Solved: False, number of success = 40/56, acc = 71.43
completed 57/165, Solved: False, number of success = 40/57, acc = 70.18
completed 58/165, Solved: False, number of success = 40/58, acc = 68.97
completed 59/165, Solved: False, number of success = 40/59, acc = 67.8
completed 60/165, Solved: False, number of success = 40/60, acc = 66.67
completed 61/165, Solved: False, number of success = 40/61, acc = 65.57
completed 62/165, Solved: False, number of success = 40/62, acc = 64.52
completed 63/165, Solved: False, number of success = 40/63, acc = 63.49
completed 64/165, Solved: False, number of success = 40/64, acc = 62.5
completed 65/165, Solved: False, number of success = 40/65, acc = 61.54
completed 66/165, Solved: False, number of success = 40/66, acc = 60.61
completed 67/165, Solved: False, number of success = 40/67, acc = 59.7
completed 68/165, Solved: False, number of success = 40/68, acc = 58.82
completed 69/165, Solved: False, number of success = 40/69, acc = 57.97
completed 70/165, Solved: False, number of success = 40/70, acc = 57.14
completed 71/165, Solved: False, number of success = 40/71, acc = 56.34
completed 72/165, Solved: False, number of success = 40/72, acc = 55.56
completed 73/165, Solved: False, number of success = 40/73, acc = 54.79
completed 74/165, Solved: False, number of success = 40/74, acc = 54.05
completed 75/165, Solved: False, number of success = 40/75, acc = 53.33

completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: True, number of success = 14/14, acc = 100.0
completed 15/165, Solved: True, number of success = 15/15, acc = 100.0
completed 16/165, Solved: True, number of success = 16/16, acc = 100.0
completed 17/165, Solved: True, number of success = 17/17, acc = 100.0
completed 18/165, Solved: True, number of success = 18/18, acc = 100.0
completed 19/165, Solved: True, number of success = 19/19, acc = 100.0
completed 20/165, Solved: True, number of success = 20/20, acc = 100.0
completed 21/165, Solved: True, number of success = 21/21, acc = 100.0
completed 22/165, Solved: True, number of success = 22/22, acc = 100.0
completed 23/165, Solved: True, number of success = 23/23, acc = 100.0
completed 24/165, Solved: True, number of success = 24/24, acc = 100.0
completed 25/165, Solved: True, number of success = 25/25, acc = 100.0
completed 26/165, Solved: True, number of success = 26/26, acc = 100.0
completed 27/165, Solved: False, number of success = 26/27, acc = 96.3
completed 28/165, Solved: False, number of success = 26/28, acc = 92.86
completed 29/165, Solved: True, number of success = 27/29, acc = 93.1
completed 30/165, Solved: True, number of success = 28/30, acc = 93.33
completed 31/165, Solved: True, number of success = 29/31, acc = 93.55
completed 32/165, Solved: True, number of success = 30/32, acc = 93.75
completed 33/165, Solved: True, number of success = 31/33, acc = 93.94
completed 34/165, Solved: True, number of success = 32/34, acc = 94.12
completed 35/165, Solved: True, number of success = 33/35, acc = 94.29
completed 36/165, Solved: True, number of success = 34/36, acc = 94.44
completed 37/165, Solved: False, number of success = 34/37, acc = 91.89
completed 38/165, Solved: False, number of success = 34/38, acc = 89.47
completed 39/165, Solved: False, number of success = 34/39, acc = 87.18
completed 40/165, Solved: False, number of success = 34/40, acc = 85.0
completed 41/165, Solved: False, number of success = 34/41, acc = 82.93
completed 42/165, Solved: False, number of success = 34/42, acc = 80.95
completed 43/165, Solved: False, number of success = 34/43, acc = 79.07
completed 44/165, Solved: False, number of success = 34/44, acc = 77.27
completed 45/165, Solved: False, number of success = 34/45, acc = 75.56
completed 46/165, Solved: True, number of success = 35/46, acc = 76.09
completed 47/165, Solved: True, number of success = 36/47, acc = 76.6
completed 48/165, Solved: True, number of success = 37/48, acc = 77.08
completed 49/165, Solved: True, number of success = 38/49, acc = 77.55
completed 50/165, Solved: True, number of success = 39/50, acc = 78.0
completed 51/165, Solved: True, number of success = 40/51, acc = 78.43
completed 52/165, Solved: False, number of success = 40/52, acc = 76.92
completed 53/165, Solved: False, number of success = 40/53, acc = 75.47
completed 54/165, Solved: False, number of success = 40/54, acc = 74.07
completed 55/165, Solved: False, number of success = 40/55, acc = 72.73
completed 56/165, Solved: False, number of success = 40/56, acc = 71.43
completed 57/165, Solved: False, number of success = 40/57, acc = 70.18
completed 58/165, Solved: False, number of success = 40/58, acc = 68.97
completed 59/165, Solved: False, number of success = 40/59, acc = 67.8
completed 60/165, Solved: False, number of success = 40/60, acc = 66.67
completed 61/165, Solved: False, number of success = 40/61, acc = 65.57
completed 62/165, Solved: False, number of success = 40/62, acc = 64.52
completed 63/165, Solved: False, number of success = 40/63, acc = 63.49
completed 64/165, Solved: False, number of success = 40/64, acc = 62.5
completed 65/165, Solved: False, number of success = 40/65, acc = 61.54
completed 66/165, Solved: False, number of success = 40/66, acc = 60.61
completed 67/165, Solved: False, number of success = 40/67, acc = 59.7
completed 68/165, Solved: False, number of success = 40/68, acc = 58.82
completed 69/165, Solved: False, number of success = 40/69, acc = 57.97
completed 70/165, Solved: False, number of success = 40/70, acc = 57.14
completed 71/165, Solved: False, number of success = 40/71, acc = 56.34
completed 72/165, Solved: False, number of success = 40/72, acc = 55.56
completed 73/165, Solved: False, number of success = 40/73, acc = 54.79
completed 74/165, Solved: False, number of success = 40/74, acc = 54.05
completed 75/165, Solved: False, number of success = 40/75, acc = 53.33

completed 76/165, Solved: False, number of success = 40/76, acc = 52.63
completed 77/165, Solved: False, number of success = 40/77, acc = 51.95
completed 78/165, Solved: False, number of success = 40/78, acc = 51.28

================================================================================
[NOTE] Log truncated at 78/165 due to process restart.
Experiment was resumed with --cont yes and completed successfully.
Final result: 161/161 problems processed, 103 solved, Accuracy = 64.0%
See Summary.txt and Results.jsonl for complete results.
Completion time: 2025-12-08 08:15:19
================================================================================
